,textDisplay,normalized_text,texttokens,Stemming,polarity_score,polarity
61,ngapain beli lokal bagus kaga mahal iya saya sebagai pembeli yang cerdas malah ngerasa rugi beli barang umkm,mengapai beli lokal bagus kagak mahal iya saya sebagai pembeli yang cerdas malah merasa rugi beli barang umkm,"['mengapai', 'beli', 'lokal', 'bagus', 'kagak', 'mahal', 'iya', 'saya', 'sebagai', 'pembeli', 'yang', 'cerdas', 'malah', 'merasa', 'rugi', 'beli', 'barang', 'umkm']",kapai beli lokal bagus kagak mahal iya saya bagai beli yang cerdas malah rasa rugi beli barang umkm,-9,negatif
62,hore merdeka mampus,hore merdeka mampus,"['hore', 'merdeka', 'mampus']",hore merdeka mampus,-5,negatif
63,enakan belanja di tiktokshop,enakan belanja di tiktokshop,"['enakan', 'belanja', 'di', 'tiktokshop']",enak belanja di tiktokshop,7,positif
64,alhamdulillah di tutup,alhamdulillah di tutup,"['alhamdulillah', 'di', 'tutup']",alhamdulillah di tutup,3,positif
65,banyak yang kaya mendadak di tiktokshop giliran di tutup merasa seolah olah jatuh miskin,banyak yang kayak mendadak di tiktokshop giliran di tutup merasa seolah olah jatuh miskin,"['banyak', 'yang', 'kayak', 'mendadak', 'di', 'tiktokshop', 'giliran', 'di', 'tutup', 'merasa', 'seolah', 'olah', 'jatuh', 'miskin']",banyak yang kayak dadak di tiktokshop gilir di tutup rasa olah olah jatuh miskin,-10,negatif
66,pusing pada bayar cicilan karena kaya mendadak gara gara tiktok waww,pusing pada bayar cicilan karena kayak mendadak gara gara tiktok wow,"['pusing', 'pada', 'bayar', 'cicilan', 'karena', 'kayak', 'mendadak', 'gara', 'gara', 'tiktok', 'wow']",pusing pada bayar cicil karena kayak dadak gara gara tiktok wow,-17,negatif
67,di twitter berseliweran info katanya orang orang yang hadir di streamingnya live tiktok mostly adalah fake buyer yang dibayar sama si streamer tersebut jadi mereka cuma ngeramein acara saja buat bikin orang penasaran jadi nominal pendapatan milyaran itu cuma ilusi bukan beneran income parah sih kalo itu beneran bikin persaingan bisnis tidak sehat,di twitter berseliweran info katanya orang orang yang hadir di streamingnya live tiktok mostly adalah fake buyer yang dibayar sama sih streamer tersebut jadi mereka cuma ngeramein acara saja buat bikin orang penasaran jadi nominal pendapatan milyaran itu cuma ilusi bukan benaran income parah sih kalo itu benaran bikin persaingan bisnis tidak sehat,"['di', 'twitter', 'berseliweran', 'info', 'katanya', 'orang', 'orang', 'yang', 'hadir', 'di', 'streamingnya', 'live', 'tiktok', 'mostly', 'adalah', 'fake', 'buyer', 'yang', 'dibayar', 'sama', 'sih', 'streamer', 'tersebut', 'jadi', 'mereka', 'cuma', 'ngeramein', 'acara', 'saja', 'buat', 'bikin', 'orang', 'penasaran', 'jadi', 'nominal', 'pendapatan', 'milyaran', 'itu', 'cuma', 'ilusi', 'bukan', 'benaran', 'income', 'parah', 'sih', 'kalo', 'itu', 'benaran', 'bikin', 'persaingan', 'bisnis', 'tidak', 'sehat']",di twitter seliwer info kata orang orang yang hadir di streamingnya live tiktok mostly adalah fake buyer yang bayar sama sih streamer sebut jadi mereka cuma ngeramein acara saja buat bikin orang penasaran jadi nominal dapat milyaran itu cuma ilusi bukan benar income parah sih kalo itu benar bikin saing bisnis tidak sehat,-15,negatif
68,titokshop kalahnya sama jemput bola,titokshop kalahnya sama jemput bola,"['titokshop', 'kalahnya', 'sama', 'jemput', 'bola']",titokshop kalah sama jemput bola,-1,negatif
69,ditutup demi pedagang tanah abang agar bisa kaya raya kembali,ditutup demi pedagang tanah abang agar bisa kayak raya kembali,"['ditutup', 'demi', 'pedagang', 'tanah', 'abang', 'agar', 'bisa', 'kayak', 'raya', 'kembali']",tutup demi dagang tanah abang agar bisa kayak raya kembali,-8,negatif
70,bukan ini pemerintah ngambil jalan tengah dan bukan ditutup tetapi ada regulasinya kedepan kalau dibiarkan khawatir akan adanya monopoli perdagangan dari china yang terkena imbas bakal menyeluruh ke semua lapisan rakyat indonesia sekarang ini baru di permukaan imbas hanya ke umkm,bukan ini pemerintah ngambil jalan tengah dan bukan ditutup tetapi ada regulasinya kedepan kalau dibiarkan khawatir akan adanya monopoli perdagangan dari china yang terkena imbas bakal menyeluruh ke semua lapisan rakyat indonesia sekarang ini baru di permukaan imbas hanya ke umkm,"['bukan', 'ini', 'pemerintah', 'ngambil', 'jalan', 'tengah', 'dan', 'bukan', 'ditutup', 'tetapi', 'ada', 'regulasinya', 'kedepan', 'kalau', 'dibiarkan', 'khawatir', 'akan', 'adanya', 'monopoli', 'perdagangan', 'dari', 'china', 'yang', 'terkena', 'imbas', 'bakal', 'menyeluruh', 'ke', 'semua', 'lapisan', 'rakyat', 'indonesia', 'sekarang', 'ini', 'baru', 'di', 'permukaan', 'imbas', 'hanya', 'ke', 'umkm']",bukan ini perintah ngambil jalan tengah dan bukan tutup tetapi ada regulasi depan kalau biar khawatir akan ada monopoli dagang dari china yang kena imbas bakal seluruh ke semua lapis rakyat indonesia sekarang ini baru di muka imbas hanya ke umkm,-19,negatif
72,iya kasihan hidupnya tidak ngikutin zaman dan malah memakai cara zaman purba sebaiknya orang yang kaya gitu di air keras dan di museum kan,iya kasihan hidupnya tidak mengikuti zaman dan malah memakai cara zaman purba sebaiknya orang yang kayak begitu di air keras dan di museum kan,"['iya', 'kasihan', 'hidupnya', 'tidak', 'mengikuti', 'zaman', 'dan', 'malah', 'memakai', 'cara', 'zaman', 'purba', 'sebaiknya', 'orang', 'yang', 'kayak', 'begitu', 'di', 'air', 'keras', 'dan', 'di', 'museum', 'kan']",iya kasihan hidup tidak ikut zaman dan malah pakai cara zaman purba baik orang yang kayak begitu di air keras dan di museum kan,-11,negatif
73,kemajuan zaman diikuti dengan keseimbangan kalau hanya maju tanpa adanya keseimbangan juga kurang tepat,kemajuan zaman diikuti dengan keseimbangan kalau hanya maju tanpa adanya keseimbangan juga kurang tepat,"['kemajuan', 'zaman', 'diikuti', 'dengan', 'keseimbangan', 'kalau', 'hanya', 'maju', 'tanpa', 'adanya', 'keseimbangan', 'juga', 'kurang', 'tepat']",maju zaman ikut dengan imbang kalau hanya maju tanpa ada imbang juga kurang tepat,-2,negatif
74,zaman diikuti dengan belajar tergantung sdm nya mau belajar atau tidak,zaman diikuti dengan belajar tergantung sdm nya mau belajar atau tidak,"['zaman', 'diikuti', 'dengan', 'belajar', 'tergantung', 'sdm', 'nya', 'mau', 'belajar', 'atau', 'tidak']",zaman ikut dengan ajar gantung sdm nya mau ajar atau tidak,-4,negatif
75,kembali ke pasar tradisional adalah yang terbaik untuk menjaga stabilitas perekonomian nasional yok kembali ke pasar kalau dengan tiktok live hanya akan menguntungkan sebagian kecil pihak saja tetapi dengan pasar tradisional akan menguntungkan lebih banyak pihak terima kasih pak mendag,kembali ke pasar tradisional adalah yang terbaik untuk menjaga stabilitas perekonomian nasional yuk kembali ke pasar kalau dengan tiktok live hanya akan menguntungkan sebagian kecil pihak saja tetapi dengan pasar tradisional akan menguntungkan lebih banyak pihak terima kasih pak mendag,"['kembali', 'ke', 'pasar', 'tradisional', 'adalah', 'yang', 'terbaik', 'untuk', 'menjaga', 'stabilitas', 'perekonomian', 'nasional', 'yuk', 'kembali', 'ke', 'pasar', 'kalau', 'dengan', 'tiktok', 'live', 'hanya', 'akan', 'menguntungkan', 'sebagian', 'kecil', 'pihak', 'saja', 'tetapi', 'dengan', 'pasar', 'tradisional', 'akan', 'menguntungkan', 'lebih', 'banyak', 'pihak', 'terima', 'kasih', 'pak', 'mendag']",kembali ke pasar tradisional adalah yang baik untuk jaga stabilitas ekonomi nasional yuk kembali ke pasar kalau dengan tiktok live hanya akan untung bagi kecil pihak saja tetapi dengan pasar tradisional akan untung lebih banyak pihak terima kasih pak mendag,1,positif
76,jumlah pedagang online sekarang lebih banyak dari pedagang pasar ya itu tanah abang sudah pada kaya semua sudah jualan berapa lama mereka puluhan tahun loh ini yang jualan di tiktok aja belum lewat tahun zaman sekarang sudah canggih dann serba digital yang harus dipikirkan itu masa depan lagian pedagang pasar itu jualnya mahal banget harusnya pedagang pasar itu yang melek digital,jumlah pedagang online sekarang lebih banyak dari pedagang pasar ya itu tanah abang sudah pada kayak semua sudah jualan berapa lama mereka puluhan tahun loh ini yang jualan di tiktok saja belum lewat tahun zaman sekarang sudah canggih dann serba digital yang harus dipikirkan itu masa depan lagian pedagang pasar itu jualnya mahal banget harusnya pedagang pasar itu yang melek digital,"['jumlah', 'pedagang', 'online', 'sekarang', 'lebih', 'banyak', 'dari', 'pedagang', 'pasar', 'ya', 'itu', 'tanah', 'abang', 'sudah', 'pada', 'kayak', 'semua', 'sudah', 'jualan', 'berapa', 'lama', 'mereka', 'puluhan', 'tahun', 'loh', 'ini', 'yang', 'jualan', 'di', 'tiktok', 'saja', 'belum', 'lewat', 'tahun', 'zaman', 'sekarang', 'sudah', 'canggih', 'dann', 'serba', 'digital', 'yang', 'harus', 'dipikirkan', 'itu', 'masa', 'depan', 'lagian', 'pedagang', 'pasar', 'itu', 'jualnya', 'mahal', 'banget', 'harusnya', 'pedagang', 'pasar', 'itu', 'yang', 'melek', 'digital']",jumlah dagang online sekarang lebih banyak dari dagang pasar ya itu tanah abang sudah pada kayak semua sudah jual berapa lama mereka puluh tahun loh ini yang jual di tiktok saja belum lewat tahun zaman sekarang sudah canggih dann serba digital yang harus pikir itu masa depan lagi dagang pasar itu jual mahal banget harus dagang pasar itu yang melek digital,-28,negatif
77,kan pendapat pribadi saya pasti ada yang setuju ada yang tidak tetapi kalau dilihat dari keputusan pemerintah dan kebanyakan komentar netizen sori bro kayaknya pendapat saya benar pemerintah pasti akan mengambil kebijakan yang lebih menguntungkan banyak pihak selain itu menurutku sebagian besar pedagang indo belum melek teknologi jadi ya untuk sekarang memang harus diatur lagi ketika sebagian besar sudah melek teknologi baru aturannya dirubah lagi semua ada prosesnya bro mungkin saya bukan pakar ekonomi tetapi itu pendpat saya lagi komentar boleh tetapi tidak usah soksokan merendahkan orang lain bro pakai bilang saya egois dan terbelakang,kan pendapat pribadi saya pasti ada yang setuju ada yang tidak tetapi kalau dilihat dari keputusan pemerintah dan kebanyakan komentar netizen sori bro kayaknya pendapat saya benar pemerintah pasti akan mengambil kebijakan yang lebih menguntungkan banyak pihak selain itu menurutku sebagian besar pedagang indonesia belum melek teknologi jadi ya untuk sekarang memang harus diatur lagi ketika sebagian besar sudah melek teknologi baru aturannya dirubah lagi semua ada prosesnya bro mungkin saya bukan pakar ekonomi tetapi itu pendpat saya lagi komentar boleh tetapi tidak usah soksokan merendahkan orang lain bro pakai bilang saya egois dan terbelakang,"['kan', 'pendapat', 'pribadi', 'saya', 'pasti', 'ada', 'yang', 'setuju', 'ada', 'yang', 'tidak', 'tetapi', 'kalau', 'dilihat', 'dari', 'keputusan', 'pemerintah', 'dan', 'kebanyakan', 'komentar', 'netizen', 'sori', 'bro', 'kayaknya', 'pendapat', 'saya', 'benar', 'pemerintah', 'pasti', 'akan', 'mengambil', 'kebijakan', 'yang', 'lebih', 'menguntungkan', 'banyak', 'pihak', 'selain', 'itu', 'menurutku', 'sebagian', 'besar', 'pedagang', 'indonesia', 'belum', 'melek', 'teknologi', 'jadi', 'ya', 'untuk', 'sekarang', 'memang', 'harus', 'diatur', 'lagi', 'ketika', 'sebagian', 'besar', 'sudah', 'melek', 'teknologi', 'baru', 'aturannya', 'dirubah', 'lagi', 'semua', 'ada', 'prosesnya', 'bro', 'mungkin', 'saya', 'bukan', 'pakar', 'ekonomi', 'tetapi', 'itu', 'pendpat', 'saya', 'lagi', 'komentar', 'boleh', 'tetapi', 'tidak', 'usah', 'soksokan', 'merendahkan', 'orang', 'lain', 'bro', 'pakai', 'bilang', 'saya', 'egois', 'dan', 'terbelakang']",kan dapat pribadi saya pasti ada yang tuju ada yang tidak tetapi kalau lihat dari putus perintah dan banyak komentar netizen sori bro kayak dapat saya benar perintah pasti akan ambil bijak yang lebih untung banyak pihak selain itu turut bagi besar dagang indonesia belum melek teknologi jadi ya untuk sekarang memang harus atur lagi ketika bagi besar sudah melek teknologi baru atur rubah lagi semua ada proses bro mungkin saya bukan pakar ekonomi tetapi itu pendpat saya lagi komentar boleh tetapi tidak usah soksokan rendah orang lain bro pakai bilang saya egois dan belakang,-18,negatif
78,anda kan tahu saat ini banyak yang berduka karena tiktokshop ditutup menurut anda pendapat anda benar itu atas dasar apa pembenaran sendiri oke saya minta maaf atas komen saya tadi semestinya saya harus hargai pendapat anda saya ralat jadi apakah anda pedagang online yang berhasil berkat adanya tiktok anda orang yang sudah terkena phk dan kemudian bangkit karena tiktok anda orang yang bisnisnya hancur karena pandemi kemudian bangkit karena tiktok boleh tidak saya ngeluarin statement begitu tentu pasti kurang tepat karena saya tidak di posisi anda zaman sudah canggih dan digital sekarang anak muda penerus bangsa mana yang tidak pakai smartphone pasti kebanyakan pengennya mudah sekarang kemudian katanya tinggal pindah jualan ke marketplace lain segampang itukah saya jualan di toped kalau tidak ngeluarin biaya iklan tidak bakal ada orderan shopee juga sama kadang sudah ngeluarin biaya iklan adanya malah rugi dan dengan umur saya sekarang sudah susah cari kerja harapan saya sebagai pedagang kecil yang tidak sanggup sewa ruko lapak dipasar bermodal kecil harus gimana,anda kan tahu saat ini banyak yang berduka karena tiktokshop ditutup menurut anda pendapat anda benar itu atas dasar apa pembenaran sendiri oke saya meminta maaf atas komen saya tadi semestinya saya harus hargai pendapat anda saya ralat jadi apakah anda pedagang online yang berhasil berkat adanya tiktok anda orang yang sudah terkena phk dan kemudian bangkit karena tiktok anda orang yang bisnisnya hancur karena pandemi kemudian bangkit karena tiktok boleh tidak saya mengeluarkan statement begitu tentu pasti kurang tepat karena saya tidak di posisi anda zaman sudah canggih dan digital sekarang anak muda penerus bangsa mana yang tidak pakai smartphone pasti kebanyakan pengennya mudah sekarang kemudian katanya tinggal pindah jualan ke marketplace lain segampang itukah saya jualan di toped kalau tidak mengeluarkan biaya iklan tidak bakal ada orderan shopee juga sama kadang sudah mengeluarkan biaya iklan adanya malah rugi dan dengan umur saya sekarang sudah susah cari kerja harapan saya sebagai pedagang kecil yang tidak sanggup sewa ruko lapak dipasar bermodal kecil harus bagaimana,"['anda', 'kan', 'tahu', 'saat', 'ini', 'banyak', 'yang', 'berduka', 'karena', 'tiktokshop', 'ditutup', 'menurut', 'anda', 'pendapat', 'anda', 'benar', 'itu', 'atas', 'dasar', 'apa', 'pembenaran', 'sendiri', 'oke', 'saya', 'meminta', 'maaf', 'atas', 'komen', 'saya', 'tadi', 'semestinya', 'saya', 'harus', 'hargai', 'pendapat', 'anda', 'saya', 'ralat', 'jadi', 'apakah', 'anda', 'pedagang', 'online', 'yang', 'berhasil', 'berkat', 'adanya', 'tiktok', 'anda', 'orang', 'yang', 'sudah', 'terkena', 'phk', 'dan', 'kemudian', 'bangkit', 'karena', 'tiktok', 'anda', 'orang', 'yang', 'bisnisnya', 'hancur', 'karena', 'pandemi', 'kemudian', 'bangkit', 'karena', 'tiktok', 'boleh', 'tidak', 'saya', 'mengeluarkan', 'statement', 'begitu', 'tentu', 'pasti', 'kurang', 'tepat', 'karena', 'saya', 'tidak', 'di', 'posisi', 'anda', 'zaman', 'sudah', 'canggih', 'dan', 'digital', 'sekarang', 'anak', 'muda', 'penerus', 'bangsa', 'mana', 'yang', 'tidak', 'pakai', 'smartphone', 'pasti', 'kebanyakan', 'pengennya', 'mudah', 'sekarang', 'kemudian', 'katanya', 'tinggal', 'pindah', 'jualan', 'ke', 'marketplace', 'lain', 'segampang', 'itukah', 'saya', 'jualan', 'di', 'toped', 'kalau', 'tidak', 'mengeluarkan', 'biaya', 'iklan', 'tidak', 'bakal', 'ada', 'orderan', 'shopee', 'juga', 'sama', 'kadang', 'sudah', 'mengeluarkan', 'biaya', 'iklan', 'adanya', 'malah', 'rugi', 'dan', 'dengan', 'umur', 'saya', 'sekarang', 'sudah', 'susah', 'cari', 'kerja', 'harapan', 'saya', 'sebagai', 'pedagang', 'kecil', 'yang', 'tidak', 'sanggup', 'sewa', 'ruko', 'lapak', 'dipasar', 'bermodal', 'kecil', 'harus', 'bagaimana']",anda kan tahu saat ini banyak yang duka karena tiktokshop tutup turut anda dapat anda benar itu atas dasar apa benar sendiri oke saya minta maaf atas komen saya tadi mesti saya harus harga dapat anda saya ralat jadi apakah anda dagang online yang hasil berkat ada tiktok anda orang yang sudah kena phk dan kemudian bangkit karena tiktok anda orang yang bisnis hancur karena pandemi kemudian bangkit karena tiktok boleh tidak saya keluar statement begitu tentu pasti kurang tepat karena saya tidak di posisi anda zaman sudah canggih dan digital sekarang anak muda terus bangsa mana yang tidak pakai smartphone pasti banyak ken mudah sekarang kemudian kata tinggal pindah jual ke marketplace lain gampang itu saya jual di toped kalau tidak keluar biaya iklan tidak bakal ada order shopee juga sama kadang sudah keluar biaya iklan ada malah rugi dan dengan umur saya sekarang sudah susah cari kerja harap saya bagai dagang kecil yang tidak sanggup sewa ruko lapak pasar modal kecil harus bagaimana,-87,negatif
79,kalau pemerintah mau blokir jangan ngasih waktu seminggu nasib kami gimana pemerintah ada kasi solusi tidak harusnya yang diregulasi itu barang import tidak resmi yang dijual di tiktokshop dan peraturan produsen yang tidak boleh jualan langsung di marketplace kalau soal promo dan bakar duit toped dan shopee dulu juga pernah kalau soal perizi tinggal di urus kalau soal ecommer dan sosmed tidak bisa dijadiin satu malah menurut saya ini inovasi tinggal buat aturan kalau konten yang harus didahulukan itu produk dalam negeri dan bantu majukan produk lokal bukan langsung blokir gini banyak pedagang sudah siapin promo dana dan sewa influencer untuk program jualannya dan bahkan banyak yang import secara resmi untuk dijual saya ini bukan importir ya cuman pedagang kecil pengecer di online saya ambil barang sama agen di kota saya sama distributor di glodok mangga dua dan itc mangga dua sama distributor di tanggerang sama produsen sepatu dalam negeri juga belinya ecer dikit makanya saya kesal saya tidak jual barang import tidak resmi langsung dari tiongkok,kalau pemerintah mau blokir jangan mengasih waktu seminggu nasib kami bagaimana pemerintah ada kasih solusi tidak harusnya yang diregulasi itu barang import tidak resmi yang dijual di tiktokshop dan peraturan produsen yang tidak boleh jualan langsung di marketplace kalau soal promo dan bakar duit toped dan shopee dulu juga pernah kalau soal perizi tinggal di urus kalau soal ecommer dan sosmed tidak bisa dijadikan satu malah menurut saya ini inovasi tinggal buat aturan kalau konten yang harus didahulukan itu produk dalam negeri dan bantu majukan produk lokal bukan langsung blokir begini banyak pedagang sudah siapin promo dana dan sewa influencer untuk program jualannya dan bahkan banyak yang import secara resmi untuk dijual saya ini bukan importir ya cuman pedagang kecil pengecer di online saya ambil barang sama agen di kota saya sama distributor di glodok mangga dua dan itc mangga dua sama distributor di tanggerang sama produsen sepatu dalam negeri juga belinya ecer dikit makanya saya kesal saya tidak jual barang import tidak resmi langsung dari tiongkok,"['kalau', 'pemerintah', 'mau', 'blokir', 'jangan', 'mengasih', 'waktu', 'seminggu', 'nasib', 'kami', 'bagaimana', 'pemerintah', 'ada', 'kasih', 'solusi', 'tidak', 'harusnya', 'yang', 'diregulasi', 'itu', 'barang', 'import', 'tidak', 'resmi', 'yang', 'dijual', 'di', 'tiktokshop', 'dan', 'peraturan', 'produsen', 'yang', 'tidak', 'boleh', 'jualan', 'langsung', 'di', 'marketplace', 'kalau', 'soal', 'promo', 'dan', 'bakar', 'duit', 'toped', 'dan', 'shopee', 'dulu', 'juga', 'pernah', 'kalau', 'soal', 'perizi', 'tinggal', 'di', 'urus', 'kalau', 'soal', 'ecommer', 'dan', 'sosmed', 'tidak', 'bisa', 'dijadikan', 'satu', 'malah', 'menurut', 'saya', 'ini', 'inovasi', 'tinggal', 'buat', 'aturan', 'kalau', 'konten', 'yang', 'harus', 'didahulukan', 'itu', 'produk', 'dalam', 'negeri', 'dan', 'bantu', 'majukan', 'produk', 'lokal', 'bukan', 'langsung', 'blokir', 'begini', 'banyak', 'pedagang', 'sudah', 'siapin', 'promo', 'dana', 'dan', 'sewa', 'influencer', 'untuk', 'program', 'jualannya', 'dan', 'bahkan', 'banyak', 'yang', 'import', 'secara', 'resmi', 'untuk', 'dijual', 'saya', 'ini', 'bukan', 'importir', 'ya', 'cuman', 'pedagang', 'kecil', 'pengecer', 'di', 'online', 'saya', 'ambil', 'barang', 'sama', 'agen', 'di', 'kota', 'saya', 'sama', 'distributor', 'di', 'glodok', 'mangga', 'dua', 'dan', 'itc', 'mangga', 'dua', 'sama', 'distributor', 'di', 'tanggerang', 'sama', 'produsen', 'sepatu', 'dalam', 'negeri', 'juga', 'belinya', 'ecer', 'dikit', 'makanya', 'saya', 'kesal', 'saya', 'tidak', 'jual', 'barang', 'import', 'tidak', 'resmi', 'langsung', 'dari', 'tiongkok']",kalau perintah mau blokir jangan asih waktu minggu nasib kami bagaimana perintah ada kasih solusi tidak harus yang regulasi itu barang import tidak resmi yang jual di tiktokshop dan atur produsen yang tidak boleh jual langsung di marketplace kalau soal promo dan bakar duit toped dan shopee dulu juga pernah kalau soal perizi tinggal di urus kalau soal ecommer dan sosmed tidak bisa jadi satu malah turut saya ini inovasi tinggal buat atur kalau konten yang harus dahulu itu produk dalam negeri dan bantu maju produk lokal bukan langsung blokir begini banyak dagang sudah siapin promo dana dan sewa influencer untuk program jual dan bahkan banyak yang import cara resmi untuk jual saya ini bukan importir ya cuman dagang kecil ecer di online saya ambil barang sama agen di kota saya sama distributor di glodok mangga dua dan itc mangga dua sama distributor di tanggerang sama produsen sepatu dalam negeri juga beli ecer dikit makanya saya kesal saya tidak jual barang import tidak resmi langsung dari tiongkok,-9,negatif
